"artist","theme_id","theme_title","date","theme_source","theme_source_sentence"
"2","T08","Ancestry","2013","AT10","In my early videos, I physically appeared in the work. In these new portraits, I am allowing my body, my DNA, to navigate my direction; where I will travel and whom I will meet. These strangers, who are also distant cousins, share bits of DNA with me — in some ways, these images become modern day self-portraits. I see these strangers, who are also relatives, as little glimmers of the ancestors who connected us hundreds of years ago."
"2","T16","Self-Portraiture","2023","AT11","[Taking selfies] was a way to be seen; it was a way for teenagers to create their own photo booth and document themselves within a language they owned. I really latched on to that and felt something big about it. I was in that stage between childhood and adulthood when you're still swimming in both worlds."
"2","T16","Self-Portraiture","2012","AT09","It was important for me to document myself as a mixed-race American person and to be able to tell this story about myself. Even if it was a constructed narrative built out of chance encounters with people I didn't know, it was still a conversation about my body and my self in those spaces."
"1","T07","Inherited Identity","2010","AT01","Looking to the family as a structure was a way to diagram the relationship between individual elements and a totality while talking about the generational layers embedded in any evolution. This became an analog for both my own working structures, and my own place within them. The important thing is that I wasn't interested in creating an autobiography or something embedded with nostalgia — this was a vehicle towards creating an indexical, formal environment."
"1","T07","Inherited Identity","2015","AT02","Both of my parents were artists and my mother had carved out a very specific space for herself as a woman artist in that she helped to start a bunch of alternative art spaces in the early 1970s in Chicago. For me, I was inheriting that legacy and inheriting the kind of work that they had already done in those realms, and, like a relay race, picking up the baton and pushing that forward."
"1","T07","Inherited Identity","2026","AT07","It was the first place my father landed, and he hated it. He was 19, he couldn't speak English, he couldn't drive a car. LA was a site of trauma for him. I think, intuitively, I came to heal that."
"1","T06","Nostalgia","2010","AT01","My interest is in opening seemingly closed systems. Nostalgia is one of them, in the sense that it has the potential to overwhelm any other possible content. Figuring out how to open this up into something more universal, or how to puncture its unilateral read, is for me where things get interesting. My relationship to nostalgia is about reclaiming it as a viable language and liberating it from its trappings."
"1","T06","Nostalgia","2015","AT02","The macramé works were about reaching back into a history that did not belong to me, but they were also about seeing what I could access from this inherited database of imagery that I kept finding over and over in thrift stores, in vintage how-to textile manuals from the '60s and '70s. These are all about translating photographs and recording the generational losses and gains."
"1","T06","Nostalgia","2015","AT02","Already present in my thinking was this idea of a retroactive gaze, of looking backwards and using that as a device or as a method. That was already happening so much in the work not only in terms of my own autobiography but also mining various other histories that weren't my own."
"1","T05","Belonging","2015","AT02","Even though I've lived in Los Angeles for 11 years or so — I do still feel like Chicago is an important part of my mainframe. I think I carry a bit of whatever that is with me all the time. I've described it over the years as a Midwestern sensibility."
"1","T05","Belonging","2026","AT07","I came to the west coast a little bit accidentally. It was the first place my father landed, and he hated it. He was 19, he couldn't speak English, he couldn't drive a car. LA was a site of trauma for him. I think, intuitively, I came to heal that."
"1","T10","Craft","2026","AT06","I'm also interested in labour-intensive production, which results in an inscription of muscle memory and is intimate and devotional. Whether it is witnessed or not, this approach is performative. But in my case, it is usually relegated to the privacy of the studio."
"1","T10","Craft","2026","AT07","I'm attracted psychically to spaces that have formerly been for textile production, I make a lot of textiles. It's really simple, but it's also an athletic challenge. Everything I do, I orchestrate so tightly."
"1","T09","Racial Visibility","2010","W01","Invisible Ink"
"2","T12","Multiethnicity","2009","W03","Lucky Tiger #151"
"2","T12","Multiethnicity","2009","W04","Lucky Tiger #169"
"2","T12","Multiethnicity","2009","W05","Lucky Tiger #181"
"2","T12","Multiethnicity","2009","W06","Lucky Tiger #186"
"2","T01","Grief","2009","W07","Good Morning Sunshine"
"3","T07","Inherited Identity","2020","W08","Primary Love"
"4","T12","Multiethnicity","1993","W09","banana split & other mix ups"
"4","T13","Classification","1993","W09","banana split & other mix ups"
"5","T08","Ancestry","1965","W19","Aiko (TAM.1473)"
"5","T08","Ancestry","1965","W22","Umakichi (TAM.1476)"
"5","T08","Ancestry","1965","W33","Haru (TAM.1485)"
"5","T10","Craft","1948","W65","Untitled (BMC.145, BMC Laundry Stamp)"
"6","T12","Multiethnicity","2004","W71","Karma Juggler"
"6","T15","Displacement","2002","W72","Dream House"
"6","T05","Belonging","2001","W73","Some/One"
"3","T16","Self-Portraiture","2026","AT12","My mission is to challenge expectations of the self-portrait, especially the self-portrait of a woman or a person-of-color. I show a woman-of-color articulating her own story and the story of painting."
"3","T11","Feminism","2026","AT12","As a female artist-of-color, I have internalized the expectation that I should mine my personal experiences as case studies in the social conditions of race, class and gender. I both accept and step beyond that expectation."
"3","T03","Bodily Autonomy","2026","AT12","I aim to hold and to embody in my work both politics of identity as well as the function of self-portraiture exemplified by Poussin's 1650 self-portrait: displaying authority within the history and discipline of painting."
"3","T17","Mythology","2014","AT13","I define Automythography as a constructive process of identity formation in which nature, culture, and self-invention merge. Proposing art as a primary method of this process, my works demonstrate female self-invention and self-representation through the deployment of her own tools."
"3","T16","Self-Portraiture","2014","AT13","I develop my figure through three steps: performance, photography, and drawing. I begin with solo performances in front of the camera, positioning myself as agent of my own depiction. The resulting self-portraits embody a form of creative self-sufficiency."
"3","T12","Multiethnicity","2014","AT13","As an African American and South Asian American woman, my works embody a culturally complex position. I work from the vantage point of both Western and Eastern depiction, ancient and contemporary."
"3","T11","Feminism","2018","AT14","By positioning a woman of color as primary picture-maker, in whose hands the figurative tradition is refashioned, my work is a form of tribute, analysis, and intervention."
"3","T03","Bodily Autonomy","2018","AT15","Responding to the history of Black hair as a barometer of social and personal consciousness, I make the image of hair both physical and conceptual, showing the psychic proportions hair has in the lives of Black people. Proposing imagination as a primary tool of transformation and self-empowerment, my works demonstrate female self-invention and self-representation through the deployment of her own tools."
"3","T12","Multiethnicity","2017","AT16","My unique ethnic heritage; I am the daughter of an African American mother and a South Asian Indian father, informs my work as well. For many years, this cultural mix was the central theme of my work. As I get older, struggles with identity fade, and issues of the body, mind and our unique place in history rise to the surface."
"3","T13","Classification","2018","AT17","The genre of self-portraiture, especially self-portraits by women, minorities and people of color, has long been understood narrowly as being about identity. But what does it mean to depict the artist in an artwork? For me, that is not about personality or biography; it is about art-making."
"3","T12","Multiethnicity","2018","AT18","In the United States the conversation about race is almost always black and white. If somebody is mixed-race, we assume they're mixed black and white, not two non-white ethnic groups. Often, I felt like an outsider, and for a long time, creating a visual unity of my cultural heritage was the subject of my work."
"3","T13","Classification","2018","AT18","It became important to me to move self-portraiture, as a genre, away from identity and toward a discourse on representation. That transition is about authority. Because we as women, and we, as people of color, are not only experts on ourselves and on our social condition. I am also an expert on art."
"3","T07","Inherited Identity","2020","AT20","I sought to make a body of paintings out of the love I felt for her. My mother did see a lot of the work and got to see how much she inspires me. In the painting, I am holding a drawing I've made of my mom, so you get the whole story from this one painting."
"3","T01","Grief","2018","AT22","I had married in April, got pregnant in May, and had worked double-time on four new paintings for the Sondheim show. The night of the award ceremony, after the party, I had a miscarriage. By early morning, I was in an ambulance to Mercy hospital. After many hours of trying to stabilize my blood pressure, my doctor performed emergency surgery and a blood transfusion, saving my life."
"3","T12","Multiethnicity","2016","AT23","By combining ideas sourced from outside of the Western canon with large format oil painting, I weave my complex cultural experience into the history of art. Largely related to my unusual ethnic heritage and wanting, needing, to have imagery in the world that reflected my identity, I have always made self-portraits."
"3","T17","Mythology","2010","AT24","I render the figure as simultaneously specific and as an archetype of the human, the female and the artist. Self portraiture is a central aspect of my work — whether the figure is present or absent the landscapes are domains of the figure."
"4","T13","Classification","2008","AT25","I just thought it would have been cool to know there were other people around going through what I was going through, other people who couldn't answer the 'check one box only' question honestly."
"4","T05","Belonging","2008","AT25","Every day I get emails from people who have found the book or seen the show, telling me it's the first time they actually felt part of something — be that a shared identity of not fitting in, some sort of intangible community, or even a discussion. For many of us, when it came to discussing ethnic identity, we were never offered a seat at the table."
"4","T12","Multiethnicity","2021","AT26","When you're mixed, your parents don't get to tell you what it was like. They don't get to say, When I was a kid, it was like this, because they don't know."
"4","T13","Classification","2021","AT26","For a 7-year-old to have to pick Mom or Dad is not a fair question. I remember being a little kid thinking like, Well, do I love my dad today or my mom? No one gets to tell you who you are. And people, if you don't define yourself, people define you and they don't do a good job of it."
"4","T09","Racial Visibility","2021","AT26","No one gets to tell you who you are. And people, if you don't define yourself, people define you and they don't do a good job of it and it doesn't really work. So I always say it's kind of your responsibility."
"4","T07","Inherited Identity","2018","AT28","My dad said he always thought I had the best of both worlds, the world at my feet. While my mom apologized to me because she thought it was somehow her fault I got beaten up because it was her genes that made me brown. And I had to tell them all children deal with stuff like this."
"4","T09","Racial Visibility","2025","AT29","It's really about agency, how people define themselves, rather than how others define them. It's about seeing yourself and being seen on your own terms. It's about being included."
"4","T13","Classification","2025","AT29","Language constantly evolves, shifts, changes — just like people do. We didn't have language to describe people like me as a kid. We had Census forms and health questionnaires and job applications telling us to check one box for race."
"4","T08","Ancestry","2025","AT30","My mother had immigrated here from Taiwan with five children. She met my father at USC, and when they married, anti-miscegenation laws were still common throughout the country. To think of their marriage and my subsequent birth as somehow illegal is bizarre by today's standards, and rightfully so."
"4","T05","Belonging","2025","AT30","I realized I was onto something — that people really wanted to be recognized for who they are, that they were tired of being put into others' boxes, and that there was importance in finding others who shared similar experiences."
"4","T13","Classification","2008","AT31","Identity is a personal process and I'm adamant that it should be a personal decision, not one made by a community, a government or others. The boxes are there to categorize other people in order to simplify social complexities; it's a social mechanism."
"4","T09","Racial Visibility","2006","AT32","I don't really like other labels put on me. When you self-identify, that's your choice. I choose to try to identify myself my way as much as I can."
"5","T10","Craft","1978","AT33","The shape comes out working with the wire — you don't think ahead of time, this is what I want. You make the line, a two-dimensional line, then you go into space, and you have a three-dimensional piece. It does not hide anything, and inside and outside are connected — everything is connected, continuous."
"5","T07","Inherited Identity","2001","AT34","As a mother and grandmother, I expected my six children and ten grandchildren to participate in the making of art as well as washing the dishes, taking the garbage out, weeding the garden, and building things. They have helped me on commissions and continue today to work with me on projects."
"5","T10","Craft","2006","AT35","I was interested in it because of the economy of a line, making something in space, enclosing it without blocking it out. It's still transparent. I realized that if I was going to make these forms, which interlock and interweave, it can only be done with a line because a line can go anywhere."
"5","T13","Classification","2006","AT36","I don't think of myself as Japanese. I think of myself as somebody with an idea, a human idea rather than an ethnic idea."
"5","T15","Displacement","2002","AT37","I feel like my mother used to think of herself, as an immigrant not knowing the English language and feeling isolated. I feel in a way isolated from that time, now."
"5","T08","Ancestry","2002","AT37","I feel like my mother used to think of herself, as an immigrant not knowing the English language and feeling isolated. I feel in a way isolated from that time, now."
"6","T15","Displacement","2021","AT38","I try to understand my life as a movement through different spaces."
"6","T18","Memory","2021","AT38","My energy has been accumulated and in a way I think my rubbing shows that. I'm trying to show the layers of time."
"6","T07","Inherited Identity","2025","AT39","My father was a painter who had modernised Korean art, but, as the country was rapidly moving towards westernisation, he became obsessed with the idea that he could live like a scholar from an older time. For him, it was a way to preserve certain traditional virtues and practices that were fast disappearing."
"6","T18","Memory","2025","AT39","For me, memory is central to what I do. We bring our memories with us when we move and my memories inhabit the architectural pieces that I create, which are physical, but also psychological and metaphorical. The material is fragile like our memories and it also has that haziness that many people associate with the past."
"6","T05","Belonging","2003","AT40","I had never talked about my art in Korean before. Even though my English is not good, I think I feel more comfortable actually talking about my work in English than in Korean. That's something that I find interesting."
"6","T15","Displacement","2003","AT40","It was very awkward and, at the same time, interesting when I first came to the United States. One thing was my English. But at the same time, I wasn't really trained to express my feelings or thoughts on art."
"6","T12","Multiethnicity","2003","AT41","That was also right after the L.A. riots, and I think there were some issues related to the Korean-American communities in L.A. during the riots. That was what really allowed me to think about my identity as a Korean in the United States, through that project."
"6","T18","Memory","2023","AT42","Memory amalgamates in these spaces and memories shape our perceptions of them. Yet, they're not stagnant. They're not foreclosed environments in my work. They're transportable, breathable and mutable."
"6","T12","Multiethnicity","2023","AT42","I associate the permanence and heaviness you mention, which I see as a rigidity, with the West. East Asian architecture is traditionally a lot more porous — it's a more symbiotic relationship. Traditional East Asian art isn't absorbed with those ideas — it's a very different approach and one that I think has historically been demeaned by the West."
"6","T05","Belonging","2020","AT43","I keep thinking about what it means if you don't have somewhere to call home. I first started to consider what home meant when I left Korea and I've never stopped, so for me it was something that came into focus when it was challenged."
"6","T15","Displacement","2020","AT43","I think of the fabric architecture works as, in a sense, an act of shedding skin, slipping out of my clothes and packing them quietly away to unfold elsewhere."
"6","T05","Belonging","2003","AT44","I think the notion of home is not a fixed one. It's something that you carry along with your life. I started thinking about how to carry my home with me."
"6","T15","Displacement","2003","AT44","I think displacement gives me a certain perspective. When you are in a place that is not your home, you become more aware of your surroundings. And that awareness becomes part of the work."
"6","T18","Memory","2003","AT44","Memory plays a very important role in my work. The spaces I create are not just physical — they are psychological and emotional as well. When you reconstruct a space, you begin to understand it differently."
"6","T10","Craft","2015","AT46","The thread and the way the thread reacts to the water and the wet paper, creates a very peculiar quality of line and appearance. Those thread drawings are often technical drawings for my larger scale installation work — they are accents on my thoughts or interest in very profound philosophical questions that I had at the moment."
